iter	Passed	Remaining
480	587	633
481	587	631
482	588	629
483	588	627
484	589	625
485	589	623
486	590	621
487	590	619
488	591	617
489	591	615
490	592	613
491	592	611
492	593	610
493	593	608
494	594	606
495	594	604
496	595	602
497	595	600
498	596	598
499	596	596
500	597	594
501	597	593
502	598	591
503	598	589
504	599	587
505	599	585
506	599	583
507	600	581
508	600	579
509	601	577
510	602	576
511	603	575
512	604	573
513	605	572
514	605	570
515	606	568
516	607	567
517	607	565
518	608	563
519	608	562
520	609	560
521	610	558
522	610	557
523	611	555
524	612	553
525	612	552
526	613	550
527	613	548
528	614	547
529	614	545
530	616	544
531	617	543
532	618	541
533	618	539
534	619	538
535	619	536
536	619	534
537	620	532
538	620	530
539	621	529
540	621	527
541	622	525
542	623	524
543	623	522
544	624	521
545	624	519
546	625	517
547	625	516
548	626	514
549	626	512
550	626	510
551	627	509
552	628	508
553	630	507
554	632	506
555	636	508
556	637	507
557	638	505
558	638	504
559	639	502
560	640	501
561	641	499
562	646	501
563	648	501
564	649	500
565	650	498
566	650	497
567	651	495
568	652	494
569	652	492
570	653	490
571	653	489
572	654	487
573	655	486
574	655	484
575	657	484
576	665	487
577	666	486
578	666	484
579	667	483
580	668	482
581	669	481
582	670	479
583	671	478
584	677	480
585	678	479
586	680	479
587	681	477
588	681	475
589	682	474
590	683	472
591	683	471
592	684	469
593	684	467
594	685	466
595	685	464
596	686	463
597	687	462
598	688	461
599	690	460
600	691	458
601	691	457
602	691	455
603	692	453
604	692	452
605	693	450
606	693	449
607	694	447
608	695	446
609	696	445
610	697	443
611	698	442
612	699	441
613	700	440
614	701	439
615	702	437
616	703	436
617	707	437
618	713	439
619	715	438
620	716	437
621	717	435
622	717	434
623	718	432
624	718	431
625	718	429
626	719	428
627	740	438
628	749	441
629	749	440
630	750	438
631	751	437
632	752	436
633	753	434
634	754	433
635	764	437
636	767	437
637	783	444
638	784	443
639	788	443
640	790	442
641	790	441
642	791	439
643	792	437
644	792	436
645	793	434
646	794	433
647	795	432
648	802	434
649	804	432
650	805	431
651	805	429
652	806	428
653	806	426
654	806	424
655	807	423
656	807	421
657	808	420
658	811	419
659	811	418
660	812	416
661	813	415
662	814	413
663	877	444
664	885	446
665	887	445
666	893	446
667	896	445
668	898	444
669	898	442
670	899	440
671	899	439
672	900	437
673	900	435
674	901	433
675	901	432
676	902	430
677	902	428
678	903	427
679	903	425
680	904	423
681	904	421
682	905	420
683	905	418
684	905	416
685	906	414
686	906	413
687	907	411
688	908	409
689	908	408
690	909	406
691	909	404
692	910	403
693	911	401
694	911	400
695	912	398
696	913	396
697	914	395
698	914	393
699	915	392
700	915	390
701	916	388
702	916	387
703	917	385
704	917	384
705	918	382
706	919	380
707	919	379
708	920	377
709	920	376
710	921	374
711	921	372
712	922	371
713	922	369
714	923	367
715	923	366
716	924	364
717	924	363
718	925	361
719	926	360
720	927	358
721	928	357
722	929	355
723	929	354
724	930	352
725	930	351
726	931	349
727	931	348
728	932	346
729	932	344
730	933	343
731	933	341
732	933	340
733	934	338
734	935	337
735	936	335
736	936	334
737	937	332
738	937	331
739	938	329
740	938	328
741	940	326
742	940	325
743	941	323
744	941	322
745	942	320
746	943	319
747	944	318
748	944	316
749	945	315
750	945	313
751	946	311
752	946	310
753	946	308
754	947	307
755	947	305
756	948	304
757	949	303
758	949	301
759	950	300
760	951	298
761	951	297
762	952	295
763	952	294
764	953	292
765	953	291
766	954	289
767	954	288
768	955	287
769	956	285
770	956	284
771	957	282
772	957	281
773	958	279
774	958	278
775	959	276
776	960	275
777	960	274
778	961	272
779	961	271
780	962	269
781	963	268
782	963	267
783	964	265
784	964	264
785	965	262
786	965	261
787	966	259
788	966	258
789	966	257
790	967	255
791	967	254
792	968	252
793	968	251
794	969	249
795	969	248
796	970	247
797	971	245
798	971	244
799	972	243
800	972	241
801	973	240
802	973	238
803	974	237
804	974	236
805	975	234
806	975	233
807	976	232
808	980	231
809	980	230
810	981	228
811	982	227
812	982	226
813	983	224
814	983	223
815	984	222
816	985	220
817	985	219
818	987	218
819	987	216
820	988	215
821	988	214
822	989	212
823	989	211
824	990	210
825	990	208
826	991	207
827	992	206
828	992	204
829	993	203
830	993	202
831	994	200
832	994	199
833	995	198
834	996	196
835	996	195
836	997	194
837	997	192
838	999	191
839	999	190
840	1000	189
841	1000	187
842	1001	186
843	1001	185
844	1002	183
845	1002	182
846	1003	181
847	1003	179
848	1004	178
849	1004	177
850	1005	176
851	1006	174
852	1006	173
853	1007	172
854	1007	170
855	1008	169
856	1008	168
857	1009	166
858	1009	165
859	1010	164
860	1011	163
861	1012	162
862	1014	160
863	1025	161
864	1025	160
865	1026	158
866	1026	157
867	1026	156
868	1027	154
869	1028	153
870	1028	152
871	1029	151
872	1029	149
873	1030	148
874	1030	147
875	1031	145
876	1032	144
877	1033	143
878	1033	142
879	1034	141
880	1035	139
881	1042	139
882	1049	139
883	1050	137
884	1050	136
885	1051	135
886	1051	133
887	1056	133
888	1057	132
889	1058	130
890	1058	129
891	1060	128
892	1061	127
893	1061	125
894	1062	124
895	1063	123
896	1064	122
897	1065	120
898	1065	119
899	1066	118
900	1067	117
901	1069	116
902	1070	114
903	1070	113
904	1071	112
905	1071	111
906	1071	109
907	1072	108
908	1072	107
909	1073	106
910	1073	104
911	1074	103
912	1077	102
913	1077	101
914	1078	100
915	1078	98
916	1078	97
917	1079	96
918	1079	95
919	1080	93
920	1080	92
921	1089	92
922	1089	90
923	1090	89
924	1090	88
925	1091	87
926	1093	86
927	1093	84
928	1093	83
929	1094	82
930	1094	81
931	1095	79
932	1095	78
933	1099	77
934	1099	76
935	1100	75
936	1101	74
937	1102	72
938	1103	71
939	1104	70
940	1104	69
941	1105	68
942	1106	66
943	1107	65
944	1108	64
945	1108	63
946	1109	62
947	1110	60
948	1111	59
949	1112	58
950	1113	57
951	1113	56
952	1114	54
953	1114	53
954	1115	52
955	1115	51
956	1116	50
957	1116	48
958	1116	47
959	1117	46
960	1117	45
961	1118	44
962	1118	42
963	1119	41
964	1119	40
965	1120	39
966	1120	38
967	1121	37
968	1122	35
969	1122	34
970	1122	33
971	1123	32
972	1124	31
973	1124	30
974	1126	28
975	1127	27
976	1128	26
977	1129	25
978	1129	24
979	1130	23
980	1130	21
981	1131	20
982	1132	19
983	1132	18
984	1133	17
985	1133	16
986	1134	14
987	1134	13
988	1135	12
989	1135	11
990	1136	10
991	1136	9
992	1137	8
993	1138	6
994	1141	5
995	1142	4
996	1144	3
997	1145	2
998	1145	1
999	1146	0
